"","activity","subject","measurement","average"
"67","STANDING",2,"fBodyAcc.std...X",-0.619788102803311
"68","STANDING",2,"fBodyAcc.std...Y",-0.464723862913245
"69","STANDING",2,"fBodyAcc.std...Z",-0.600678614835099
"70","STANDING",2,"fBodyAccJerk.mean...X",-0.561682049622185
"71","STANDING",2,"fBodyAccJerk.mean...Y",-0.50890379901457
"72","STANDING",2,"fBodyAccJerk.mean...Z",-0.715745330403973
"73","STANDING",2,"fBodyAccJerk.std...X",-0.595105612895033
"74","STANDING",2,"fBodyAccJerk.std...Y",-0.509147543673841
"75","STANDING",2,"fBodyAccJerk.std...Z",-0.767087015496689
"76","STANDING",2,"fBodyAccMag.mean..",-0.514569861316887
"77","STANDING",2,"fBodyAccMag.std..",-0.646662308457285
"78","STANDING",2,"fBodyBodyAccJerkMag.mean..",-0.509746432970861
"79","STANDING",2,"fBodyBodyAccJerkMag.std..",-0.518800797709272
"80","STANDING",2,"fBodyBodyGyroMag.mean..",-0.699742945221854
"81","STANDING",2,"fBodyGyro.mean...X",-0.638717694593046
"82","STANDING",2,"fBodyGyro.mean...Y",-0.722068978635762
"83","STANDING",2,"fBodyGyro.mean...Z",-0.601594889654305
"84","STANDING",2,"fBodyGyro.std...X",-0.734588540182119
"85","STANDING",2,"fBodyGyro.std...Y",-0.72716774102649
"86","STANDING",2,"fBodyGyro.std...Z",-0.683114494539735
"87","STANDING",2,"tBodyAcc.mean...X",0.273113115788079
"88","STANDING",2,"tBodyAcc.mean...Y",-0.0191323183174834
"89","STANDING",2,"tBodyAcc.mean...Z",-0.115649958175497
"90","STANDING",2,"tBodyAcc.std...X",-0.605586497159271
"91","STANDING",2,"tBodyAcc.std...Y",-0.428962986589404
"92","STANDING",2,"tBodyAcc.std...Z",-0.589360062210596
"93","STANDING",2,"tBodyAccJerk.mean...X",0.0785353156747351
"94","STANDING",2,"tBodyAccJerk.mean...Y",0.00708771249764901
"95","STANDING",2,"tBodyAccJerk.mean...Z",0.000755760748377483
"96","STANDING",2,"tBodyAccJerk.std...X",-0.557809603123841
"97","STANDING",2,"tBodyAccJerk.std...Y",-0.491875889831788
"98","STANDING",2,"tBodyAccJerk.std...Z",-0.741885388311258
"99","STANDING",2,"tBodyAccJerkMag.mean..",-0.58777744543543
"100","STANDING",2,"tBodyAccJerkMag.std..",-0.512115278415232
"101","STANDING",2,"tBodyAccMag.mean..",-0.535281800541722
"102","STANDING",2,"tBodyAccMag.std..",-0.552812545643709
"103","STANDING",2,"tBodyGyro.mean...X",-0.0517030657821192
"104","STANDING",2,"tBodyGyro.mean...Y",-0.0568420186817881
"105","STANDING",2,"tBodyGyro.mean...Z",0.0872599422291391
"106","STANDING",2,"tBodyGyro.std...X",-0.710648927815894
"107","STANDING",2,"tBodyGyro.std...Y",-0.722943674337748
"108","STANDING",2,"tBodyGyro.std...Z",-0.634888927843046
"109","STANDING",2,"tBodyGyroJerk.mean...X",-0.0875587491668874
"110","STANDING",2,"tBodyGyroJerk.mean...Y",-0.0433986835453642
"111","STANDING",2,"tBodyGyroJerk.mean...Z",-0.0557541828188742
"112","STANDING",2,"tBodyGyroJerk.std...X",-0.671679103311258
"113","STANDING",2,"tBodyGyroJerk.std...Y",-0.783595466728477
"114","STANDING",2,"tBodyGyroJerk.std...Z",-0.674611933293046
"115","STANDING",2,"tBodyGyroJerkMag.mean..",-0.746559539039735
"116","STANDING",2,"tBodyGyroJerkMag.std..",-0.740088733655629
"117","STANDING",2,"tBodyGyroMag.mean..",-0.614771054893146
"118","STANDING",2,"tBodyGyroMag.std..",-0.680584887880795
"119","STANDING",2,"tGravityAcc.mean...X",0.660782866688742
"120","STANDING",2,"tGravityAcc.mean...Y",-0.147219886910411
"121","STANDING",2,"tGravityAcc.mean...Z",0.134865335090728
"122","STANDING",2,"tGravityAcc.std...X",-0.963015508245033
"123","STANDING",2,"tGravityAcc.std...Y",-0.960033560165563
"124","STANDING",2,"tGravityAcc.std...Z",-0.945365383907285
"125","STANDING",2,"tGravityAccMag.mean..",-0.535281800541722
"126","STANDING",2,"tGravityAccMag.std..",-0.552812545643709
"127","WALKING",3,"fBodyAcc.mean...X",-0.625733289873607
"128","WALKING",3,"fBodyAcc.mean...Y",-0.501779938505279
"129","WALKING",3,"fBodyAcc.mean...Z",-0.699656828592375
"130","WALKING",3,"fBodyAcc.std...X",-0.623805015199413
"131","WALKING",3,"fBodyAcc.std...Y",-0.502753639795894
"132","WALKING",3,"fBodyAcc.std...Z",-0.657443765803519
"133","WALKING",3,"fBodyAccJerk.mean...X",-0.645893496630499
"134","WALKING",3,"fBodyAccJerk.mean...Y",-0.582949919157742
"135","WALKING",3,"fBodyAccJerk.mean...Z",-0.780101644193548
"136","WALKING",3,"fBodyAccJerk.std...X",-0.657844055881525
"137","WALKING",3,"fBodyAccJerk.std...Y",-0.559851186088408
"138","WALKING",3,"fBodyAccJerk.std...Z",-0.81080601659824
"139","WALKING",3,"fBodyAccMag.mean..",-0.579076453758064
"140","WALKING",3,"fBodyAccMag.std..",-0.663079838985044
"141","WALKING",3,"fBodyBodyAccJerkMag.mean..",-0.604752108072727
"142","WALKING",3,"fBodyBodyAccJerkMag.std..",-0.615643694857361
"143","WALKING",3,"fBodyBodyGyroMag.mean..",-0.716822144279179
"144","WALKING",3,"fBodyGyro.mean...X",-0.642097719778592
"145","WALKING",3,"fBodyGyro.mean...Y",-0.775144985073314
"146","WALKING",3,"fBodyGyro.mean...Z",-0.670734708996481
"147","WALKING",3,"fBodyGyro.std...X",-0.719276622702346
"148","WALKING",3,"fBodyGyro.std...Y",-0.758505287214076
"149","WALKING",3,"fBodyGyro.std...Z",-0.751008875659824
"150","WALKING",3,"tBodyAcc.mean...X",0.273428719636364
"151","WALKING",3,"tBodyAcc.mean...Y",-0.017856067384956
"152","WALKING",3,"tBodyAcc.mean...Z",-0.106492632429097
"153","WALKING",3,"tBodyAcc.std...X",-0.623413602046921
"154","WALKING",3,"tBodyAcc.std...Y",-0.480015920697654
"155","WALKING",3,"tBodyAcc.std...Z",-0.653625579293255
"156","WALKING",3,"tBodyAccJerk.mean...X",0.0701731261988856
"157","WALKING",3,"tBodyAccJerk.mean...Y",0.0144664329060411
"158","WALKING",3,"tBodyAccJerk.mean...Z",-0.000526818872875366
"159","WALKING",3,"tBodyAccJerk.std...X",-0.635484688041056
"160","WALKING",3,"tBodyAccJerk.std...Y",-0.55721186773783
"161","WALKING",3,"tBodyAccJerk.std...Z",-0.796066240234604
"162","WALKING",3,"tBodyAccJerkMag.mean..",-0.650182434328446
"163","WALKING",3,"tBodyAccJerkMag.std..",-0.607658214170381
"164","WALKING",3,"tBodyAccMag.mean..",-0.563140802770059
"165","WALKING",3,"tBodyAccMag.std..",-0.591224780306452
"166","WALKING",3,"tBodyGyro.mean...X",-0.0248490682828446
"167","WALKING",3,"tBodyGyro.mean...Y",-0.0743565308442815
"168","WALKING",3,"tBodyGyro.mean...Z",0.0866875497119062
"169","WALKING",3,"tBodyGyro.std...X",-0.699262195705865
"170","WALKING",3,"tBodyGyro.std...Y",-0.76302218170088
"171","WALKING",3,"tBodyGyro.std...Z",-0.709483440322581
"172","WALKING",3,"tBodyGyroJerk.mean...X",-0.0991554609633431
"173","WALKING",3,"tBodyGyroJerk.mean...Y",-0.0401923943695015
"174","WALKING",3,"tBodyGyroJerk.mean...Z",-0.0521178264170088
"175","WALKING",3,"tBodyGyroJerk.std...X",-0.689328428607038
"176","WALKING",3,"tBodyGyroJerk.std...Y",-0.842659862111437
"177","WALKING",3,"tBodyGyroJerk.std...Z",-0.743028500565982
"178","WALKING",3,"tBodyGyroJerkMag.mean..",-0.784056656246334
"179","WALKING",3,"tBodyGyroJerkMag.std..",-0.80366136372434
"180","WALKING",3,"tBodyGyroMag.mean..",-0.643150121648094
"181","WALKING",3,"tBodyGyroMag.std..",-0.674010290979472
"182","WALKING",3,"tGravityAcc.mean...X",0.707814353343108
"183","WALKING",3,"tGravityAcc.mean...Y",-0.0260590480328739
"184","WALKING",3,"tGravityAcc.mean...Z",0.0480937904190616
"185","WALKING",3,"tGravityAcc.std...X",-0.966457565630499
"186","WALKING",3,"tGravityAcc.std...Y",-0.9445645371261
"187","WALKING",3,"tGravityAcc.std...Z",-0.926966278211144
"188","WALKING",3,"tGravityAccMag.mean..",-0.563140802770059
"189","WALKING",3,"tGravityAccMag.std..",-0.591224780306452
"190","STANDING",4,"fBodyAcc.mean...X",-0.628806379100946
"191","STANDING",4,"fBodyAcc.mean...Y",-0.52583456615142
"192","STANDING",4,"fBodyAcc.mean...Z",-0.755235428895899
"193","STANDING",4,"fBodyAcc.std...X",-0.597551324155678
"194","STANDING",4,"fBodyAcc.std...Y",-0.534661524341987
"195","STANDING",4,"fBodyAcc.std...Z",-0.708764043722397
"196","STANDING",4,"fBodyAccJerk.mean...X",-0.652023078038801
"197","STANDING",4,"fBodyAccJerk.mean...Y",-0.601696223759495
"198","STANDING",4,"fBodyAccJerk.mean...Z",-0.825154871135647
"199","STANDING",4,"fBodyAccJerk.std...X",-0.644622004704416
"200","STANDING",4,"fBodyAccJerk.std...Y",-0.593855151524606
"201","STANDING",4,"fBodyAccJerk.std...Z",-0.860544668359621
"202","STANDING",4,"fBodyAccMag.mean..",-0.602098037677603
"203","STANDING",4,"fBodyAccMag.std..",-0.672948341687697
"204","STANDING",4,"fBodyBodyAccJerkMag.mean..",-0.63501900541041
"205","STANDING",4,"fBodyBodyAccJerkMag.std..",-0.666506718936908
"206","STANDING",4,"fBodyBodyGyroMag.mean..",-0.745650754608833
"207","STANDING",4,"fBodyGyro.mean...X",-0.641881977553943
"208","STANDING",4,"fBodyGyro.mean...Y",-0.831527531009464
"209","STANDING",4,"fBodyGyro.mean...Z",-0.689308946422713
"210","STANDING",4,"fBodyGyro.std...X",-0.721749187328076
"211","STANDING",4,"fBodyGyro.std...Y",-0.782885735867508
"212","STANDING",4,"fBodyGyro.std...Z",-0.7670895729653
"213","STANDING",4,"tBodyAcc.mean...X",0.274183111498423
"214","STANDING",4,"tBodyAcc.mean...Y",-0.0148081545344921
"215","STANDING",4,"tBodyAcc.mean...Z",-0.107521430810726
"216","STANDING",4,"tBodyAcc.std...X",-0.605211727785489
"217","STANDING",4,"tBodyAcc.std...Y",-0.509929384011325
"218","STANDING",4,"tBodyAcc.std...Z",-0.709492735962145
"219","STANDING",4,"tBodyAccJerk.mean...X",0.0788637845151419
"220","STANDING",4,"tBodyAccJerk.mean...Y",0.00351340949514196
"221","STANDING",4,"tBodyAccJerk.mean...Z",-0.00737375142832808
"222","STANDING",4,"tBodyAccJerk.std...X",-0.631853083289621
"223","STANDING",4,"tBodyAccJerk.std...Y",-0.584063204701893
"224","STANDING",4,"tBodyAccJerk.std...Z",-0.843353231167192
"225","STANDING",4,"tBodyAccJerkMag.mean..",-0.656116311856877
"226","STANDING",4,"tBodyAccJerkMag.std..",-0.647249966810726
"227","STANDING",4,"tBodyAccMag.mean..",-0.56158213510694
"228","STANDING",4,"tBodyAccMag.std..",-0.606556049548896
"229","STANDING",4,"tBodyGyro.mean...X",-0.0289417906907571
"230","STANDING",4,"tBodyGyro.mean...Y",-0.0787229907785489
"231","STANDING",4,"tBodyGyro.mean...Z",0.0957174866009464
"232","STANDING",4,"tBodyGyro.std...X",-0.701397703369085
"233","STANDING",4,"tBodyGyro.std...Y",-0.79823574873817
"234","STANDING",4,"tBodyGyro.std...Z",-0.726374197066246
"235","STANDING",4,"tBodyGyroJerk.mean...X",-0.107859315713249
"236","STANDING",4,"tBodyGyroJerk.mean...Y",-0.0400427574662461
"237","STANDING",4,"tBodyGyroJerk.mean...Z",-0.0578089304000631
"238","STANDING",4,"tBodyGyroJerk.std...X",-0.723788617823344
"239","STANDING",4,"tBodyGyroJerk.std...Y",-0.902502592618297
"240","STANDING",4,"tBodyGyroJerk.std...Z",-0.748369141315457
"241","STANDING",4,"tBodyGyroJerkMag.mean..",-0.819191368044164
"242","STANDING",4,"tBodyGyroJerkMag.std..",-0.844187064164038
"243","STANDING",4,"tBodyGyroMag.mean..",-0.656291093847319
"244","STANDING",4,"tBodyGyroMag.std..",-0.706738493542587
"245","STANDING",4,"tGravityAcc.mean...X",0.706593043123028
"246","STANDING",4,"tGravityAcc.mean...Y",0.112591195496986
"247","STANDING",4,"tGravityAcc.mean...Z",0.164130896618297
"248","STANDING",4,"tGravityAcc.std...X",-0.962636979274448
"249","STANDING",4,"tGravityAcc.std...Y",-0.941416800167192
"250","STANDING",4,"tGravityAcc.std...Z",-0.941403426072555
"251","STANDING",4,"tGravityAccMag.mean..",-0.56158213510694
"252","STANDING",4,"tGravityAccMag.std..",-0.606556049548896
"253","WALKING",5,"fBodyAcc.mean...X",-0.55123770513245
"254","WALKING",5,"fBodyAcc.mean...Y",-0.440232431795033
"255","WALKING",5,"fBodyAcc.mean...Z",-0.696171811490066
"256","WALKING",5,"fBodyAcc.std...X",-0.492829885748675
"257","WALKING",5,"fBodyAcc.std...Y",-0.422162171100331
"258","WALKING",5,"fBodyAcc.std...Z",-0.649351210748344
"259","WALKING",5,"fBodyAccJerk.mean...X",-0.604769869438742
"260","WALKING",5,"fBodyAccJerk.mean...Y",-0.550991969857417
"261","WALKING",5,"fBodyAccJerk.mean...Z",-0.768762357980132
"262","WALKING",5,"fBodyAccJerk.std...X",-0.584013626983444
"263","WALKING",5,"fBodyAccJerk.std...Y",-0.491500434303907
"264","WALKING",5,"fBodyAccJerk.std...Z",-0.798835563807947
"265","WALKING",5,"fBodyAccMag.mean..",-0.528503022745033
"266","WALKING",5,"fBodyAccMag.std..",-0.594259529756954
"267","WALKING",5,"fBodyBodyAccJerkMag.mean..",-0.573176177044172
"268","WALKING",5,"fBodyBodyAccJerkMag.std..",-0.613485123609272
"269","WALKING",5,"fBodyBodyGyroMag.mean..",-0.677355755703311
"270","WALKING",5,"fBodyGyro.mean...X",-0.632239300829801
"271","WALKING",5,"fBodyGyro.mean...Y",-0.71706218781457
"272","WALKING",5,"fBodyGyro.mean...Z",-0.537329127293278
"273","WALKING",5,"fBodyGyro.std...X",-0.73573857718543
"274","WALKING",5,"fBodyGyro.std...Y",-0.702290390960265
"275","WALKING",5,"fBodyGyro.std...Z",-0.669353687483444
"276","WALKING",5,"tBodyAcc.mean...X",0.279177960301325
"277","WALKING",5,"tBodyAcc.mean...Y",-0.0154833455336192
"278","WALKING",5,"tBodyAcc.mean...Z",-0.105661736816887
"279","WALKING",5,"tBodyAcc.std...X",-0.507691011391722
"280","WALKING",5,"tBodyAcc.std...Y",-0.402724906078146
"281","WALKING",5,"tBodyAcc.std...Z",-0.646443640175497
"282","WALKING",5,"tBodyAccJerk.mean...X",0.0841019899622517
"283","WALKING",5,"tBodyAccJerk.mean...Y",0.0017656830384106
"284","WALKING",5,"tBodyAccJerk.mean...Z",-0.0029537113427351
"285","WALKING",5,"tBodyAccJerk.std...X",-0.575890535679801
"286","WALKING",5,"tBodyAccJerk.std...Y",-0.506544358609603
"287","WALKING",5,"tBodyAccJerk.std...Z",-0.78456199486755
"288","WALKING",5,"tBodyAccJerkMag.mean..",-0.589313870006622
"289","WALKING",5,"tBodyAccJerkMag.std..",-0.589031268133113
"290","WALKING",5,"tBodyAccMag.mean..",-0.460866415568709
"291","WALKING",5,"tBodyAccMag.std..",-0.52162345171192
"292","WALKING",5,"tBodyGyro.mean...X",-0.0294516873643046
"293","WALKING",5,"tBodyGyro.mean...Y",-0.0774316445596026
"294","WALKING",5,"tBodyGyro.mean...Z",0.0866267116745033
"295","WALKING",5,"tBodyGyro.std...X",-0.709955676983444
"296","WALKING",5,"tBodyGyro.std...Y",-0.705638306688742
"297","WALKING",5,"tBodyGyro.std...Z",-0.606589817380795
"298","WALKING",5,"tBodyGyroJerk.mean...X",-0.103522877147351
"299","WALKING",5,"tBodyGyroJerk.mean...Y",-0.0490624519374172
"300","WALKING",5,"tBodyGyroJerk.mean...Z",-0.0506258160122517
"301","WALKING",5,"tBodyGyroJerk.std...X",-0.662581310334437
"302","WALKING",5,"tBodyGyroJerk.std...Y",-0.774114270364238
"303","WALKING",5,"tBodyGyroJerk.std...Z",-0.564680771249007
"304","WALKING",5,"tBodyGyroJerkMag.mean..",-0.707383517582782
"305","WALKING",5,"tBodyGyroJerkMag.std..",-0.734187493344371
"306","WALKING",5,"tBodyGyroMag.mean..",-0.602770284825828
"307","WALKING",5,"tBodyGyroMag.std..",-0.664078383532781
"308","WALKING",5,"tGravityAcc.mean...X",0.698153719072848
"309","WALKING",5,"tGravityAcc.mean...Y",0.112313109736755
"310","WALKING",5,"tGravityAcc.mean...Z",0.0921607197449904
"311","WALKING",5,"tGravityAcc.std...X",-0.964629108807947
"312","WALKING",5,"tGravityAcc.std...Y",-0.939973777950331
"313","WALKING",5,"tGravityAcc.std...Z",-0.94207867884106
"314","WALKING",5,"tGravityAccMag.mean..",-0.460866415568709
"315","WALKING",5,"tGravityAccMag.std..",-0.52162345171192
"316","WALKING",6,"fBodyAcc.mean...X",-0.506174926221538
"317","WALKING",6,"fBodyAcc.mean...Y",-0.392041410138769
"318","WALKING",6,"fBodyAcc.mean...Z",-0.683725945015385
"319","WALKING",6,"fBodyAcc.std...X",-0.506680276530492
"320","WALKING",6,"fBodyAcc.std...Y",-0.396677793847908
"321","WALKING",6,"fBodyAcc.std...Z",-0.694365207233846
"322","WALKING",6,"fBodyAccJerk.mean...X",-0.549394273848923
"323","WALKING",6,"fBodyAccJerk.mean...Y",-0.503558973703692
"324","WALKING",6,"fBodyAccJerk.mean...Z",-0.720867157741538
"325","WALKING",6,"fBodyAccJerk.std...X",-0.555346159400332
"326","WALKING",6,"fBodyAccJerk.std...Y",-0.437837459287385
"327","WALKING",6,"fBodyAccJerk.std...Z",-0.755751144098462
"328","WALKING",6,"fBodyAccMag.mean..",-0.473974924380431
"329","WALKING",6,"fBodyAccMag.std..",-0.570910289993846
"330","WALKING",6,"fBodyBodyAccJerkMag.mean..",-0.494882316238462
"331","WALKING",6,"fBodyBodyAccJerkMag.std..",-0.516711262173969
"332","WALKING",6,"fBodyBodyGyroMag.mean..",-0.579130051151385
"333","WALKING",6,"fBodyGyro.mean...X",-0.537201442069846
"334","WALKING",6,"fBodyGyro.mean...Y",-0.621188724858462
"335","WALKING",6,"fBodyGyro.mean...Z",-0.507604207506462
"336","WALKING",6,"fBodyGyro.std...X",-0.692862440004
"337","WALKING",6,"fBodyGyro.std...Y",-0.633236229753846
"338","WALKING",6,"fBodyGyro.std...Z",-0.67302031484
"339","WALKING",6,"tBodyAcc.mean...X",0.272376614181538
"340","WALKING",6,"tBodyAcc.mean...Y",-0.0175697042641846
"341","WALKING",6,"tBodyAcc.mean...Z",-0.11599454136
"342","WALKING",6,"tBodyAcc.std...X",-0.505086085072062
"343","WALKING",6,"tBodyAcc.std...Y",-0.368403670137262
"344","WALKING",6,"tBodyAcc.std...Z",-0.672512004586708
"345","WALKING",6,"tBodyAccJerk.mean...X",0.0813833604034769
"346","WALKING",6,"tBodyAccJerk.mean...Y",0.000479281129661539
"347","WALKING",6,"tBodyAccJerk.mean...Z",-0.00225896302076923
"348","WALKING",6,"tBodyAccJerk.std...X",-0.531468310262154
"349","WALKING",6,"tBodyAccJerk.std...Y",-0.454437496885815
"350","WALKING",6,"tBodyAccJerk.std...Z",-0.738955207627692
"351","WALKING",6,"tBodyAccJerkMag.mean..",-0.551413652396923
"352","WALKING",6,"tBodyAccJerkMag.std..",-0.502935062310769
"353","WALKING",6,"tBodyAccMag.mean..",-0.464770006998123
"354","WALKING",6,"tBodyAccMag.std..",-0.483790606354154
"355","WALKING",6,"tBodyGyro.mean...X",-0.0433611785374462
"356","WALKING",6,"tBodyGyro.mean...Y",-0.0706129097498462
"357","WALKING",6,"tBodyGyro.mean...Z",0.0973130293888923
"358","WALKING",6,"tBodyGyro.std...X",-0.653800660041538
"359","WALKING",6,"tBodyGyro.std...Y",-0.626252072652308
"360","WALKING",6,"tBodyGyro.std...Z",-0.599910232855692
"361","WALKING",6,"tBodyGyroJerk.mean...X",-0.0829159966093231
"362","WALKING",6,"tBodyGyroJerk.mean...Y",-0.0454921005615385
"363","WALKING",6,"tBodyGyroJerk.mean...Z",-0.0533610323667692
"364","WALKING",6,"tBodyGyroJerk.std...X",-0.546009968372308
"365","WALKING",6,"tBodyGyroJerk.std...Y",-0.677635980501539
"366","WALKING",6,"tBodyGyroJerk.std...Z",-0.526908306306892
"367","WALKING",6,"tBodyGyroJerkMag.mean..",-0.621936158532308
"368","WALKING",6,"tBodyGyroJerkMag.std..",-0.644474485460492
"369","WALKING",6,"tBodyGyroMag.mean..",-0.549494852037046
"370","WALKING",6,"tBodyGyroMag.std..",-0.579837818063692
"371","WALKING",6,"tGravityAcc.mean...X",0.688702063569231
"372","WALKING",6,"tGravityAcc.mean...Y",0.0162055455953846
"373","WALKING",6,"tGravityAcc.mean...Z",0.0475199990906462
"374","WALKING",6,"tGravityAcc.std...X",-0.958898709015385
"375","WALKING",6,"tGravityAcc.std...Y",-0.9509348864
"376","WALKING",6,"tGravityAcc.std...Z",-0.937910223507692
"377","WALKING",6,"tGravityAccMag.mean..",-0.464770006998123
"378","WALKING",6,"tGravityAccMag.std..",-0.483790606354154
"379","WALKING",7,"fBodyAcc.mean...X",-0.593011288564935
"380","WALKING",7,"fBodyAcc.mean...Y",-0.563547785174026
"381","WALKING",7,"fBodyAcc.mean...Z",-0.531005941495552
"382","WALKING",7,"fBodyAcc.std...X",-0.572347541484091
"383","WALKING",7,"fBodyAcc.std...Y",-0.567046977262987
"384","WALKING",7,"fBodyAcc.std...Z",-0.460792123277305
"385","WALKING",7,"fBodyAccJerk.mean...X",-0.637521940243831
"386","WALKING",7,"fBodyAccJerk.mean...Y",-0.641687333850227
"387","WALKING",7,"fBodyAccJerk.mean...Z",-0.642515716574286
"388","WALKING",7,"fBodyAccJerk.std...X",-0.626785744584416
"389","WALKING",7,"fBodyAccJerk.std...Y",-0.62853163071948
"390","WALKING",7,"fBodyAccJerk.std...Z",-0.684856438953896
"391","WALKING",7,"fBodyAccMag.mean..",-0.518323878824675
"392","WALKING",7,"fBodyAccMag.std..",-0.583819796092208
"393","WALKING",7,"fBodyBodyAccJerkMag.mean..",-0.553360009658182
"394","WALKING",7,"fBodyBodyAccJerkMag.std..",-0.550683254908442
"395","WALKING",7,"fBodyBodyGyroMag.mean..",-0.628877272791136
"396","WALKING",7,"fBodyGyro.mean...X",-0.643767578493507
"397","WALKING",7,"fBodyGyro.mean...Y",-0.630419275006169
"398","WALKING",7,"fBodyGyro.mean...Z",-0.655083354905844
"399","WALKING",7,"fBodyGyro.std...X",-0.703883646896104
"400","WALKING",7,"fBodyGyro.std...Y",-0.671161922837662
"401","WALKING",7,"fBodyGyro.std...Z",-0.698949518905844
"402","WALKING",7,"tBodyAcc.mean...X",0.270211697814935
"403","WALKING",7,"tBodyAcc.mean...Y",-0.0187904887668182
"404","WALKING",7,"tBodyAcc.mean...Z",-0.112492375388312
"405","WALKING",7,"tBodyAcc.std...X",-0.577518324748052
"406","WALKING",7,"tBodyAcc.std...Y",-0.546403365345779
"407","WALKING",7,"tBodyAcc.std...Z",-0.456473642256981
"408","WALKING",7,"tBodyAccJerk.mean...X",0.0831829573168831
